,roc2 - RSI4,RSI2 % atr15,lag_ema21_2 - RSI4,lag_ema21_3 - RSI4,Adj Close % decaylinear9,lag_ema21_4 - RSI4,lag_ema21_5 - RSI4,lag_ema21_6 - RSI4,lag_9 - RSI4,lag_ema21_7 - RSI4,lag_ema21_8 - RSI4,lag_ema21_9 - RSI4,lag_ema21_10 - RSI4,atr9 - RSI4,Target
0,-35.907608437052595,0.5460302393509726,-33.83633629455255,-33.83283913118037,13.780267715454102,-33.83023269216035,-33.82653728536546,-33.82387621355618,-33.76753804579177,-33.8212635794294,-33.81814754083365,-33.81438006382407,-33.80907721087477,-31.8822862750392,0
1,-46.98510643063642,0.1766482260003146,-46.34775653907009,-46.345146878612006,0.0,-46.34144690446526,-46.33878254369432,-46.336166680472616,-46.25428625187569,-46.333046790597294,-46.3292746571604,-46.32396525013016,-46.316581850729605,-44.38071107962461,1
2,-26.22147858035122,0.3169836279094924,-24.61280923341572,-24.609112698193467,13.559430122375488,-24.60645081380079,-24.603837381881505,-24.600720391773944,-24.514598083270396,-24.59695176432968,-24.59164729210416,-24.58427075517131,-24.57779036701984,-22.647442767927927,0
3,-26.0002289682258,0.4327793960437005,-23.713786195013004,-23.71118862248495,0.0,-23.70809054756903,-23.704344789722636,-23.699072507239528,-23.667474462109723,-23.69174073419905,-23.68529967173664,-23.681288377416426,-23.67400955658367,-21.771271983531022,1
4,-18.47890743620237,1.2777001476546768,-17.668315706599266,-17.6652289726621,13.055919647216797,-17.661496926737247,-17.65624394425342,-17.648939010293525,-17.59391952679093,-17.642521526328903,-17.63852491596725,-17.63127274037539,-17.625958323459386,-15.728645247150167,0
5,-28.42645426470805,0.3130503039870287,-29.02860623894018,-29.02338055599669,0.0,-29.01611358548708,-29.00972945293052,-29.005753612793423,-28.97324674973982,-28.998539126468707,-28.993252328365337,-28.98905161221776,-28.985203284245117,-27.10157788358527,0
6,-23.97301253950122,1.5040785553247868,-22.95739747803061,-22.95015275383981,0.0,-22.94378816497729,-22.939824496047876,-22.93263209537256,-22.91273702844688,-22.92736148170202,-22.92317362517326,-22.91933707805632,-22.914834939596048,-21.045778988176597,0
7,-18.848387970331554,1.450127181889822,-17.02025931589933,-17.013918197324656,12.89691925048828,-17.009969144963993,-17.002803267245273,-16.99755208968014,-16.978516108525053,-16.993379676442423,-16.98955727711525,-16.98507174090343,-16.97663161489801,-15.135468269654304,0
8,-13.135420612448083,0.2636301638989236,-10.0710844894565,-10.067155828708003,12.631912231445312,-10.060026953233349,-10.054802891028189,-10.050652022765004,-10.001240193121657,-10.04684936105524,-10.042386986682368,-10.033990442721558,-10.026576392120251,-8.188315342469865,0
9,-14.457534819969906,1.49785035864829,-11.999064827174974,-11.993910295031068,0.0,-11.989814673071091,-11.9860626231824,-11.981659641127475,-11.953157015090722,-11.973374851619992,-11.96605947890041,-11.958981697822583,-11.955868268773475,-10.133258381702817,1
10,-39.73754870184802,0.4434185878087806,-42.24340819126915,-42.23932838415895,0.0,-42.23559082244956,-42.23120484208582,-42.22295204349517,-42.2154034299373,-42.21566491838285,-42.20861446747504,-42.20551306063237,-42.20206545663568,-40.37546320505881,1
11,-24.636614585773334,1.8519326976842576,-22.763654291297964,-22.759942735834414,12.093066215515137,-22.75558727346408,-22.74739189848959,-22.740155477762062,-22.76692672463939,-22.73315408444148,-22.73007425742948,-22.72665064213025,-22.72331467999704,-20.917906962744443,0
12,-39.69710960119692,1.3420080480128886,-37.23323106302368,-37.22889769606363,0.0,-37.22074389650805,-37.21354418639158,-37.206578311379936,-37.217390528116105,-37.20351410843622,-37.20010786125506,-37.19678882257241,-37.18896677606502,-35.38192124922213,1
13,-41.648100900342165,0.1464599938876745,-43.90455261587633,-43.89643155124813,0.0,-43.88926074569158,-43.882322836465846,-43.879270935328194,-43.82558999828351,-43.87587836315258,-43.87257264936092,-43.86478200589731,-43.85432784980793,-42.0200200264656,1
